company_id,name,website,phone,city,industry,trade,deal_id,deal_stage
321838764730,Fernandez Plumbing LLC,https://www.fernandezplumbingfl.com,(561) 800-7381,West Palm Beach,CONSTRUCTION,plumber,324432529121,appointmentscheduled
321163657916,Quantum Roofing Solutions,https://quantumroofing.com,786-443-2201,Miami,CONSTRUCTION,roofer,324396258026,qualifiedtobuy
321786470081,"Cee Dee Air Conditioning, Inc",https://www.ceedeeac.com,(561) 433-0550,Royal Palm Beach,CONSTRUCTION,HVAC tech,324432529118,appointmentscheduled
321848169157,Leon Roofing Contractor,https://leonroofingpro.com,(561) 215-4293,West Palm Beach,CONSTRUCTION,roofer,324358926052,qualifiedtobuy
321848107719,Altec Roofing,https://www.altecroofing.com,(561) 559-8117,West Palm Beach,CONSTRUCTION,roofer,324366002915,qualifiedtobuy
321848999620,"First Degree Air Conditioning, Inc.",https://firstdegreeairconditioning.com,(561) 461-7411,West Palm Beach,CONSTRUCTION,HVAC tech,324439719658,qualifiedtobuy
321848222409,South Florida Roofing,https://www.southfloridaroofingfl.com,(561) 863-9596,Lake Park,CONSTRUCTION,roofer,324436129519,appointmentscheduled
321848107722,Rainbow Roofing LLC,https://www.rainbowroofingexperts.com,(561) 575-1898,West Palm Beach,CONSTRUCTION,roofer,324434334408,qualifiedtobuy
321848116939,Complete Roofing Solutions Inc.,https://www.my-roofer.com,(561) 848-7663,West Palm Beach,CONSTRUCTION,roofer,324355726015,qualifiedtobuy
321179438796,HOA Advocates Management,https://hoaadvocatesfl.com,561-627-5523,West Palm Beach,REAL_ESTATE,property manager,324409554640,qualifiedtobuy
321838784201,Ewing & Ewing Air Conditioning,https://www.ewingair.com,(561) 220-6484,West Palm Beach,CONSTRUCTION,HVAC tech,324350226126,qualifiedtobuy
321848999626,CountrySide Loxahatchee HVAC Repair,https://loxahatcheecountrysidehvac.com,(561) 839-8734,Loxahatchee,CONSTRUCTION,HVAC tech,324340133602,qualifiedtobuy
321838786246,All Star Plumbing & Air,https://www.247allstar.com,(561) 667-2900,West Palm Beach,CONSTRUCTION,plumber,324350226138,appointmentscheduled
321132722903,KLR Roofing Corp.,https://klrroofing.com,561-282-5393,West Palm Beach,CONSTRUCTION,roofer,324335061738,qualifiedtobuy
321160047319,Storm Shield Roofing,https://stormshieldfl.com,561-755-6633,West Palm Beach,CONSTRUCTION,roofer,324358926018,qualifiedtobuy
