company_name,category,city,fb_page_url,ig_handle,website_url,why_relevant_one_line
All Town Plumbing Inc,plumber,Wellington,https://www.facebook.com/Alltownplumbinginc/,,,Local Wellington plumber - water-loss claims feeder
Mike the Plumber Inc,plumber,Lake Worth,https://www.facebook.com/Miketheplumberinc/,,,Full-service emergency plumber near Wellington
Brian Hollinger Plumbing Inc,plumber,Loxahatchee,https://www.facebook.com/BHPlumbingInc/,,,Family-owned 30+ yr plumber serving PBC western communities
Admiral Plumbing Service,plumber,West Palm Beach,https://www.facebook.com/AdmiralPlumbingService/,,,WPB plumber - leak/water-damage referral source
Now Air Conditioning,hvac,Wellington,https://www.facebook.com/NOWAirConditiong/,,nowairconditioning.com,Local Wellington 24/7 AC install/repair
Big Air Mechanical HVAC,hvac,Wellington,https://www.facebook.com/BigAirMechanicalHVAC/,,,Wellington HVAC + plumbing - AC-leak ceiling damage feeder
Proper Air Conditioning,hvac,Wellington,,properairconditioning,,Wellington AC company active on IG
Airworx Air Conditioning and Refrigeration,hvac,West Palm Beach,https://www.facebook.com/airworxacr/,,,WPB AC/refrigeration shop
Downey Contracting Inc,roofer,Wellington,https://www.facebook.com/dandowneycontracting/,,,Locally-owned Wellington GC + roofer - storm work overlap
Element Roofing,roofer,Wellington,https://www.facebook.com/elementroofingltd/,,,Wellington metal-roof installer - hail/wind claim overlap
Viking Roofing,roofer,Wellington,https://www.facebook.com/vikingroofingrepairs/,,,Wellington roof repair specialist - storm-damage feeder
Daley Brothers Roofing Inc,roofer,Royal Palm Beach,https://www.facebook.com/daleybrothersroofing/,,,RPB roofer - storm/hurricane claim referral source
Roofing System of Florida Inc,roofer,Royal Palm Beach,https://www.facebook.com/RoofingSystemOfFlorida/,,,40-yr RPB family roofer
Zavala's Pro Roofing,roofer,West Palm Beach,https://www.facebook.com/ZavalasPro/,,,WPB residential/commercial roofer with financing
Neal Roofing and Waterproofing,roofer,West Palm Beach,https://www.facebook.com/NealRoofing/,,,Family-owned WPB roofer - waterproofing crossover
Rainbow Roofing,roofer,West Palm Beach,https://www.facebook.com/rainbowroofingexperts/,,,WPB roofing contractor - storm claim source
Palm Beach Roofing Co,roofer,West Palm Beach,https://www.facebook.com/palmbeachroofingco/,,,Established WPB roofer
Race Construction Inc,general-contractor,Wellington,https://www.facebook.com/Raceconstructionfl/,,,Licensed Wellington GC (CGC 1527765) - reconstruction partner
PMI Remodeling & Repairs,general-contractor,Wellington,https://www.facebook.com/PMIRemodeling/,,,Family-owned Wellington remodeler - post-loss rebuild fit
JB's Remodeling Crew LLC,general-contractor,Wellington,https://www.facebook.com/jbsremodelingcrew/,,,Wellington remodeling crew
Juan C. Moreno Home Renovations LLC,general-contractor,Wellington,https://www.facebook.com/jcmorenohomerenovation/,,,PBC residential renovator
Wellington FL Real Estate,real-estate,Wellington,https://www.facebook.com/WellingtonFloridaRealEstate/,,wellingtonhometeam.com,Michelle Gibson - Wellington residential specialist since 2001
Mary DiMarco Realtor,real-estate,Wellington,https://www.facebook.com/MaryDiMarcoRealtor/,,,10+ yr Wellington realtor with Illustrated Properties
Olivia Prosser Realtor,real-estate,Wellington,,oliviaprealtor,,Wellington realtor active on IG
Awesta Guethe Realtor,real-estate,Wellington,,awestaguethe.realtor,,Wellington realtor active on IG
Starr Santiago Realtor,real-estate,Wellington,,starrsantiago.realtor,,Wellington realtor active on IG
Shannon Burrows Group,real-estate,Wellington,,shannonburrowsgroup,,Wellington realtor team on IG
PuroClean of Wellington,restoration,Wellington,https://www.facebook.com/purocleanofwellington/,,puroclean.com/wellington-fl-puroclean-wellington/,Local Wellington water/fire/mold mitigation - direct claims overlap
Speedy Restore,restoration,Wellington,https://www.facebook.com/speedyrestore/,,,Wellington mitigation + mold remediator - direct claims overlap
Wellington Pool and Spa Services,pool,Wellington,https://www.facebook.com/WellingtonPoolService/,wellingtonpoolservice,wellingtonpoolservice.com,Family-owned Wellington pool service since 2018
Horizon Pool and Patio,pool,Wellington,https://www.facebook.com/horizonpool561/,,horizonpool.com,Wellington pool co serving Western Communities since 1985
Montes Pool Services,pool,Wellington,https://www.facebook.com/montespool/,,,Family-operated pool co - Wellington/RPB/WPB/PBG
Malachi's Tree Service LLC,tree-landscape,West Palm Beach,https://www.facebook.com/malstreeservice/,,,Family tree co serving WPB/Lox/RPB/Wellington - storm cleanup
Kiel Tree Service Inc,tree-landscape,Loxahatchee,https://www.facebook.com/KielServices/,,,Loxahatchee full-service tree co - storm debris angle
Tomas Flores Tree Service,tree-landscape,Loxahatchee,https://www.facebook.com/TomasFloresTreeService.FL/,,,Loxahatchee tree service - storm cleanup feeder
Wellington Landscaping and Lawn Care,tree-landscape,Wellington,https://www.facebook.com/WellingtonLawns/,,,Wellington landscape/lawn co
Hometown Landscaping Co,tree-landscape,Wellington,https://www.facebook.com/hometownlandscapingco/,,,Wellington landscape design/install/maint
